time	 Pao	 Fip	 Fop	 stateP	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2
0	 15	 undefined	 undefined	 undefined	 2.9760479999999987	 0.17928096000000338	 0.17928096000000338	 0	 2.508964048	 0.008964047999999999	 0	 0.008964047999999999	 0.008964047999999999	 0	 0	 0
0.003	 15	 undefined	 undefined	 undefined	 2.9404780838369273	 0.35641914249210593	 0.35641914249210593	 0	 2.5178209571246053	 0.017820957124604925	 0	 0.017820957124604925	 0.017820957124604925	 0	 0	 0
0.006	 15	 undefined	 undefined	 undefined	 2.9053333015883105	 0.5314401580902128	 0.5314401580902128	 0	 2.5265720079045106	 0.026572007904510385	 0	 0.026572007904510385	 0.026572007904510385	 0	 0	 0
0.009000000000000001	 15	 undefined	 undefined	 undefined	 2.8706085720263967	 0.7043693113085413	 0.7043693113085413	 0	 2.535218465565427	 0.03521846556542717	 0	 0.03521846556542717	 0.03521846556542717	 0	 0	 0
0.012	 15	 undefined	 undefined	 undefined	 2.836298874654588	 0.8752316042201526	 0.8752316042201526	 0	 2.5437615802110076	 0.04376158021100738	 0	 0.04376158021100738	 0.04376158021100738	 0	 0	 0
0.015	 15	 undefined	 undefined	 undefined	 2.8023992489815885	 1.0440517400716853	 1.0440517400716853	 0	 2.5522025870035843	 0.05220258700358429	 0	 0.05220258700358429	 0.05220258700358429	 0	 0	 0
0.018	 15	 undefined	 undefined	 undefined	 2.768904793804209	 1.2108541268550432	 1.2108541268550432	 0	 2.560542706342752	 0.060542706342751884	 0	 0.060542706342751884	 0.060542706342751884	 0	 0	 0
0.020999999999999998	 15	 undefined	 undefined	 undefined	 2.735810666498754	 1.3756628808362057	 1.3756628808362057	 0	 2.5687831440418103	 0.0687831440418101	 0	 0.0687831440418101	 0.0687831440418101	 0	 0	 0
0.023999999999999997	 15	 undefined	 undefined	 undefined	 2.703112082320878	 1.5385018300420228	 1.5385018300420228	 0	 2.576925091502101	 0.07692509150210117	 0	 0.07692509150210117	 0.07692509150210117	 0	 0	 0
0.026999999999999996	 15	 undefined	 undefined	 undefined	 2.6708043137138073	 1.6993945177052439	 1.6993945177052439	 0	 2.584969725885262	 0.08496972588526219	 0	 0.08496972588526219	 0.08496972588526219	 0	 0	 0
0.029999999999999995	 15	 undefined	 undefined	 undefined	 2.6388826896248236	 1.8583642056683747	 1.8583642056683747	 0	 2.5929182102834187	 0.09291821028341908	 0	 0.09291821028341908	 0.09291821028341908	 0	 0	 0
0.032999999999999995	 15	 undefined	 undefined	 undefined	 2.6073425948299356	 2.015433877746924	 2.015433877746924	 0	 2.600771693887346	 0.10077169388734619	 0	 0.10077169388734619	 0.10077169388734619	 0	 0	 0
0.036	 15	 undefined	 undefined	 undefined	 2.5761794692666005	 2.170626243052327	 2.170626243052327	 0	 2.6085313121526164	 0.10853131215261622	 0	 0.10853131215261622	 0.10853131215261622	 0	 0	 0
0.039	 15	 undefined	 undefined	 undefined	 2.54538880737444	 2.3239637392752854	 2.3239637392752854	 0	 2.6161981869637643	 0.11619818696376416	 0	 0.11619818696376416	 0.11619818696376416	 0	 0	 0
0.042	 15	 undefined	 undefined	 undefined	 2.514966157443819	 2.4754685359297834	 2.4754685359297834	 0	 2.623773426796489	 0.12377342679648928	 0	 0.12377342679648928	 0.12377342679648928	 0	 0	 0
0.045000000000000005	 15	 undefined	 undefined	 undefined	 2.484907120972215	 2.6251625375583654	 2.6251625375583654	 0	 2.6312581268779183	 0.13125812687791832	 0	 0.13125812687791832	 0.13125812687791832	 0	 0	 0
0.04800000000000001	 15	 undefined	 undefined	 undefined	 2.4552073520283013	 2.7730673868990596	 2.7730673868990596	 0	 2.638653369344953	 0.13865336934495334	 0	 0.13865336934495334	 0.13865336934495334	 0	 0	 0
0.05100000000000001	 15	 undefined	 undefined	 undefined	 2.4258625566235885	 2.919204468014529	 2.919204468014529	 0	 2.6459602234007265	 0.1459602234007268	 0	 0.1459602234007268	 0.1459602234007268	 0	 0	 0
0.05400000000000001	 15	 undefined	 undefined	 undefined	 2.3968684920916203	 3.0635949093837316	 3.0635949093837316	 0	 2.6531797454691866	 0.15317974546918703	 0	 0.15317974546918703	 0.15317974546918703	 0	 0	 0
0.057000000000000016	 15	 undefined	 undefined	 undefined	 2.368220966474558	 3.206259586956701	 3.206259586956701	 0	 2.660312979347835	 0.16031297934783562	 0	 0.16031297934783562	 0.16031297934783562	 0	 0	 0
0.06000000000000002	 15	 undefined	 undefined	 undefined	 2.339915837917111	 3.347219127172787	 3.347219127172787	 0	 2.6673609563586393	 0.16736095635863962	 0	 0.16736095635863962	 0.16736095635863962	 0	 0	 0
0.06300000000000001	 15	 undefined	 undefined	 undefined	 2.3119490140677126	 3.4864939099427876	 3.4864939099427876	 0	 2.6743246954971394	 0.17432469549713994	 0	 0.17432469549713994	 0.17432469549713994	 0	 0	 0
0.06600000000000002	 15	 undefined	 undefined	 undefined	 2.2843164514868395	 3.6241040715955375	 3.6241040715955375	 0	 2.681205203579777	 0.1812052035797776	 0	 0.1812052035797776	 0.1812052035797776	 0	 0	 0
0.06900000000000002	 15	 undefined	 undefined	 undefined	 2.257014155062416	 3.760069507789172	 3.760069507789172	 0	 2.6880034753894586	 0.18800347538945908	 0	 0.18800347538945908	 0.18800347538945908	 0	 0	 0
